timestamp	elapsed_sec	total_rss_mb	free_ram_mb	vram_used_mb	p0_rss_mb	p1_rss_mb	p2_rss_mb	p3_rss_mb
1788177330.4	0.0	1850	30255	8.0	1.9	1.8	1.9	1.9
1788177332.5	2.0	2766	29339	10.0	1.9	1.8	1.9	1.9
1788177334.5	4.0	2586	29519	10.0	0.0	1.8	0.0	1.9
1788177336.5	6.1	2534	29571	263.0	0.0	1.8	0.0	0.0
1788177338.5	8.1	2666	29439	219.0	0.0	1.8	0.0	0.0
1788177340.5	10.1	3129	28976	636.0	0.0	1.8	0.0	0.0
1788177342.5	12.1	3147	28958	636.0	0.0	1.8	0.0	0.0
1788177344.6	14.1	3166	28939	636.0	0.0	1.8	0.0	0.0
1788177346.6	16.1	3187	28918	636.0	0.0	1.8	0.0	0.0
1788177348.6	18.2	3208	28897	636.0	0.0	1.8	0.0	0.0
1788177350.6	20.2	3209	28896	638.0	0.0	1.8	0.0	0.0
1788177352.7	22.2	3209	28896	638.0	0.0	1.8	0.0	0.0
1788177354.7	24.2	3551	28554	804.0	0.0	1.8	0.0	0.0
1788177356.7	26.2	3551	28554	804.0	0.0	1.8	0.0	0.0
1788177358.7	28.3	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177360.7	30.3	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177362.7	32.3	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177364.7	34.3	3550	28555	824.0	0.0	1.8	0.0	0.0
1788177366.8	36.3	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177368.8	38.3	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177370.8	40.4	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177372.8	42.4	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177374.8	44.4	3550	28555	824.0	0.0	1.8	0.0	0.0
1788177376.8	46.4	3550	28555	824.0	0.0	1.8	0.0	0.0
1788177378.9	48.4	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177380.9	50.4	3552	28553	824.0	0.0	1.8	0.0	0.0
1788177382.9	52.5	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177384.9	54.5	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177386.9	56.5	3550	28555	824.0	0.0	1.8	0.0	0.0
1788177388.9	58.5	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177391.0	60.5	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177393.0	62.5	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177395.0	64.6	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177397.0	66.6	3551	28554	824.0	0.0	1.8	0.0	0.0
1788177399.0	68.6	3550	28555	824.0	0.0	1.8	0.0	0.0
1788177401.0	70.6	3550	28555	824.0	0.0	1.8	0.0	0.0
